pop,private,obs_het,fis,pi,grp,genome,miss_lvl
south,654,0.18392,0.29836,0.25935,alt,inf,8
caes,721,0.08314,0.0959,0.12047,phylo,aaxi,9
duse,502,0.0813,0.12062,0.13669,phylo,aaxi,9
miss,655,0.07669,0.12696,0.13426,phylo,aaxi,9
para,673,0.08899,0.15086,0.14625,phylo,aaxi,9
send,378,0.08734,0.09262,0.13045,phylo,aaxi,9
caes,304,0.09347,0.07554,0.12073,phylo,sec,95
duse,243,0.09193,0.10209,0.13629,phylo,sec,95
miss,322,0.08904,0.11035,0.13689,phylo,sec,95
para,282,0.09791,0.12572,0.14336,phylo,sec,95
send,156,0.09744,0.06462,0.12672,phylo,sec,95
Preit,2689,0.05388,0.23373,0.14456,grp,sec,5
Psaxi,1100,0.05346,0.11634,0.11093,grp,sec,5
Psche,5735,0.04711,0.31377,0.17815,grp,sec,5
Pteri,5207,0.03556,0.31102,0.17604,grp,sec,5
Preit,130,0.11194,0.19864,0.1842,grp,nico,8
Psaxi,42,0.10365,0.10784,0.15188,grp,nico,8
Psche,293,0.09934,0.26786,0.20606,grp,nico,8
Pteri,279,0.07866,0.32035,0.21404,grp,nico,8
north,18,0.28387,0.08638,0.29373,alt,hab,9
west,12,0.24639,0.06604,0.26362,alt,hab,9
south,31,0.25304,0.1544,0.28425,alt,hab,9
caes,343,0.09305,0.07901,0.12153,phylo,aaxi,95
duse,261,0.09215,0.10278,0.13747,phylo,aaxi,95
miss,328,0.08657,0.10507,0.13222,phylo,aaxi,95
para,333,0.0963,0.1363,0.14684,phylo,aaxi,95
send,182,0.09812,0.06979,0.12989,phylo,aaxi,95
north,530,0.20782,0.23448,0.27057,alt,axi,8
west,443,0.16826,0.17767,0.23485,alt,axi,8
south,596,0.18452,0.2974,0.26022,alt,axi,8
caes,199,0.10358,0.09279,0.14109,phylo,hab,8
duse,166,0.09168,0.14498,0.1603,phylo,hab,8
miss,183,0.08494,0.13973,0.15008,phylo,hab,8
para,227,0.11661,0.14223,0.17063,phylo,hab,8
send,114,0.11366,0.08794,0.15524,phylo,hab,8
north,487,0.20774,0.23669,0.27104,alt,sec,8
west,386,0.16712,0.17958,0.23421,alt,sec,8
south,536,0.18434,0.29892,0.26059,alt,sec,8
north,155,0.26011,0.0926,0.27225,alt,inf,95
west,178,0.21706,0.08328,0.24267,alt,inf,95
south,196,0.23339,0.15478,0.26276,alt,inf,95
north,1294,0.16743,0.33379,0.26745,alt,aaxi,5
west,822,0.13624,0.21184,0.22254,alt,aaxi,5
south,1468,0.14542,0.39791,0.25582,alt,aaxi,5
Preit,265,0.09236,0.15405,0.14416,grp,inf,9
Psaxi,98,0.08368,0.07094,0.11376,grp,inf,9
Psche,684,0.07227,0.23461,0.17242,grp,inf,9
Pteri,758,0.0606,0.3004,0.18357,grp,inf,9
caes,2212,0.05055,0.12781,0.10902,phylo,axi,5
duse,1743,0.05106,0.15565,0.13081,phylo,axi,5
miss,2116,0.04679,0.14746,0.12154,phylo,axi,5
para,2560,0.05826,0.19313,0.14391,phylo,axi,5
send,1728,0.05956,0.14806,0.1351,phylo,axi,5
Preit,2897,0.05382,0.23395,0.14487,grp,axi,5
Psaxi,1219,0.054,0.11621,0.11139,grp,axi,5
Psche,6221,0.04649,0.31257,0.17692,grp,axi,5
Pteri,5656,0.03601,0.30569,0.1739,grp,axi,5
north,24,0.27089,0.09714,0.28582,alt,nico,9
west,22,0.23941,0.08751,0.26523,alt,nico,9
south,31,0.24032,0.17245,0.27637,alt,nico,9
Preit,5,0.20203,0.01253,0.19712,grp,hab,95
Psaxi,1,0.20325,0.00426,0.19923,grp,hab,95
Psche,14,0.21395,0.02324,0.22666,grp,hab,95
Pteri,25,0.20202,0.14671,0.25997,grp,hab,95
caes,60,0.1476,0.02965,0.15211,phylo,hab,95
duse,54,0.12519,0.09978,0.16724,phylo,hab,95
miss,67,0.12268,0.09989,0.16583,phylo,hab,95
para,60,0.1496,0.08271,0.17459,phylo,hab,95
send,37,0.13842,0.03646,0.15465,phylo,hab,95
north,306,0.23422,0.15905,0.27024,alt,aaxi,9
west,300,0.19122,0.13322,0.23782,alt,aaxi,9
south,361,0.20871,0.22556,0.26092,alt,aaxi,9
Preit,272,0.09418,0.15646,0.14578,grp,axi,9
Psaxi,93,0.08932,0.07396,0.12106,grp,axi,9
Psche,685,0.078,0.23003,0.17513,grp,axi,9
Pteri,719,0.06464,0.29249,0.1835,grp,axi,9
Preit,3031,0.05225,0.2287,0.14159,grp,inf,5
Psaxi,1257,0.05155,0.11317,0.10745,grp,inf,5
