# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
north	259	25.27269	3.21908	0.01766	0.82359	0.01996	0.00139	0.20259	0.02897	0.00168	0.79741	0.02897	0.00168	0.25067	0.02592	0.00158	0.74933	0.02592	0.00158	0.25577	0.02699	0.00162	0.18221	0.09586	0.01766
south	314	35.93219	7.01400	0.02607	0.83175	0.01954	0.00138	0.18791	0.02560	0.00157	0.81209	0.02560	0.00157	0.24081	0.02537	0.00157	0.75919	0.02537	0.00157	0.24423	0.02610	0.00159	0.21407	0.08698	0.02607
west	277	8.98450	1.48077	0.01198	0.84294	0.02657	0.00160	0.16314	0.03997	0.00197	0.83686	0.03997	0.00197	0.21164	0.03724	0.00190	0.78836	0.03724	0.00190	0.22454	0.04198	0.00202	0.16140	0.12940	0.01198
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
north	259	1308254	10323	9326	0.71286	25.57050	2.96915	0.00151	0.99861	0.00040	0.00002	0.00160	0.00055	0.00002	0.99840	0.00055	0.00002	0.00198	0.00070	0.00002	0.99802	0.00070	0.00002	0.00202	0.00073	0.00002	0.00144	0.00102	0.00151
south	314	1308254	10323	9549	0.72990	36.33225	7.21514	0.00235	0.99867	0.00038	0.00002	0.00148	0.00048	0.00002	0.99852	0.00048	0.00002	0.00190	0.00065	0.00002	0.99810	0.00065	0.00002	0.00193	0.00067	0.00002	0.00169	0.00105	0.00235
west	277	1308130	10321	6670	0.50989	9.06940	1.39480	0.00103	0.99876	0.00040	0.00002	0.00129	0.00052	0.00002	0.99871	0.00052	0.00002	0.00167	0.00064	0.00002	0.99833	0.00064	0.00002	0.00177	0.00073	0.00002	0.00127	0.00122	0.00103
