# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Preit	18534	4.21254	7.13387	0.00925	0.91821	0.02231	0.00052	0.06370	0.02891	0.00059	0.93630	0.02891	0.00059	0.10560	0.03103	0.00061	0.89440	0.03103	0.00061	0.12880	0.05085	0.00078	0.13241	0.11330	0.00925
Psaxi	9956	2.80196	2.49660	0.00586	0.93907	0.01947	0.00052	0.06068	0.03426	0.00069	0.93932	0.03426	0.00069	0.07551	0.02610	0.00060	0.92449	0.02610	0.00060	0.09841	0.04871	0.00082	0.06838	0.06698	0.00586
Psche	27502	4.37932	7.50384	0.00945	0.89597	0.02646	0.00056	0.06219	0.02700	0.00057	0.93781	0.02700	0.00057	0.13349	0.03645	0.00066	0.86651	0.03645	0.00066	0.15951	0.05617	0.00082	0.19718	0.15723	0.00945
Pteri	25348	3.18002	4.32936	0.00746	0.89897	0.02765	0.00060	0.05484	0.02758	0.00060	0.94516	0.02758	0.00060	0.12634	0.03684	0.00069	0.87366	0.03684	0.00069	0.15730	0.06223	0.00089	0.19747	0.15627	0.00746
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Preit	18534	5808944	83362	25177	0.43342	2.52400	5.19937	0.00095	0.99883	0.00041	0.00001	0.00091	0.00047	0.00001	0.99909	0.00047	0.00001	0.00152	0.00060	0.00001	0.99848	0.00060	0.00001	0.00185	0.00096	0.00001	0.00190	0.00187	0.00095
Psaxi	9956	4083497	72748	14056	0.34421	2.05291	2.02305	0.00070	0.99891	0.00041	0.00001	0.00108	0.00067	0.00001	0.99892	0.00067	0.00001	0.00135	0.00056	0.00001	0.99865	0.00056	0.00001	0.00175	0.00104	0.00002	0.00122	0.00128	0.00070
Psche	27502	4994310	84088	31193	0.62457	2.83523	5.84870	0.00108	0.99825	0.00062	0.00001	0.00105	0.00052	0.00001	0.99895	0.00052	0.00001	0.00225	0.00091	0.00001	0.99775	0.00091	0.00001	0.00269	0.00137	0.00002	0.00332	0.00329	0.00108
Pteri	25348	5275214	77825	25742	0.48798	1.99868	2.78738	0.00073	0.99851	0.00056	0.00001	0.00081	0.00045	0.00001	0.99919	0.00045	0.00001	0.00186	0.00078	0.00001	0.99814	0.00078	0.00001	0.00232	0.00128	0.00002	0.00291	0.00287	0.00073
