# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
caes	2618	5.09457	1.60269	0.00958	0.92286	0.02039	0.00108	0.08205	0.03763	0.00147	0.91795	0.03763	0.00147	0.10159	0.03061	0.00132	0.89841	0.03061	0.00132	0.11378	0.03896	0.00149	0.08094	0.09451	0.00958
duse	1906	4.22627	1.72469	0.00993	0.90946	0.02289	0.00114	0.08562	0.03371	0.00139	0.91438	0.03371	0.00139	0.11891	0.03447	0.00140	0.88109	0.03447	0.00140	0.13683	0.04657	0.00163	0.10622	0.09944	0.00993
miss	2540	4.30841	1.93156	0.01055	0.90883	0.02390	0.00117	0.08797	0.03674	0.00146	0.91203	0.03674	0.00146	0.11792	0.03490	0.00142	0.88208	0.03490	0.00142	0.13542	0.04705	0.00165	0.09898	0.09831	0.01055
para	2591	4.98597	1.68631	0.00977	0.90796	0.02127	0.00110	0.08464	0.03543	0.00142	0.91536	0.03543	0.00142	0.12461	0.03294	0.00137	0.87539	0.03294	0.00137	0.13973	0.04204	0.00154	0.13981	0.13410	0.00977
send	1478	3.86305	1.36746	0.00883	0.91283	0.02304	0.00115	0.08995	0.03867	0.00149	0.91005	0.03867	0.00149	0.11305	0.03372	0.00139	0.88695	0.03372	0.00139	0.13168	0.04675	0.00163	0.08404	0.09105	0.00883
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
caes	2618	1510793	17469	4820	0.31904	5.19311	1.47078	0.00099	0.99911	0.00030	0.00001	0.00095	0.00051	0.00002	0.99905	0.00051	0.00002	0.00117	0.00047	0.00002	0.99883	0.00047	0.00002	0.00132	0.00060	0.00002	0.00094	0.00117	0.00099
duse	1906	1511472	17479	5486	0.36296	4.31063	1.67536	0.00105	0.99895	0.00036	0.00002	0.00099	0.00047	0.00002	0.99901	0.00047	0.00002	0.00138	0.00056	0.00002	0.99862	0.00056	0.00002	0.00158	0.00075	0.00002	0.00123	0.00128	0.00105
miss	2540	1501125	17350	5344	0.35600	4.40116	1.89101	0.00112	0.99895	0.00037	0.00002	0.00102	0.00051	0.00002	0.99898	0.00051	0.00002	0.00136	0.00056	0.00002	0.99864	0.00056	0.00002	0.00157	0.00075	0.00002	0.00114	0.00125	0.00112
para	2591	1526241	17673	6216	0.40728	5.09307	1.57943	0.00102	0.99893	0.00034	0.00001	0.00098	0.00049	0.00002	0.99902	0.00049	0.00002	0.00144	0.00056	0.00002	0.99856	0.00056	0.00002	0.00162	0.00071	0.00002	0.00162	0.00178	0.00102
send	1478	1513871	17525	5201	0.34356	3.94436	1.31600	0.00093	0.99899	0.00035	0.00002	0.00104	0.00054	0.00002	0.99896	0.00054	0.00002	0.00131	0.00054	0.00002	0.99869	0.00054	0.00002	0.00152	0.00074	0.00002	0.00097	0.00113	0.00093
