# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
north	80619	14.44924	83.16385	0.01551	0.91168	0.02023	0.00024	0.07402	0.02759	0.00028	0.92598	0.02759	0.00028	0.12058	0.02866	0.00029	0.87942	0.02866	0.00029	0.13749	0.04349	0.00035	0.17830	0.13297	0.01551
south	127036	19.50982	173.18632	0.02184	0.89284	0.02328	0.00025	0.07884	0.02978	0.00029	0.92116	0.02978	0.00029	0.14479	0.03101	0.00029	0.85521	0.03101	0.00029	0.16690	0.04935	0.00037	0.26388	0.17345	0.02184
west	49374	5.72767	9.73363	0.00564	0.92662	0.01876	0.00025	0.06897	0.02896	0.00031	0.93103	0.02896	0.00031	0.09847	0.02738	0.00030	0.90153	0.02738	0.00030	0.11581	0.04212	0.00037	0.10636	0.09736	0.00564
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
north	80619	19148422	345645	168998	0.88257	5.02732	57.98770	0.00174	0.99841	0.00050	0.00001	0.00134	0.00060	0.00001	0.99866	0.00060	0.00001	0.00218	0.00078	0.00001	0.99782	0.00078	0.00001	0.00248	0.00112	0.00001	0.00322	0.00296	0.00174
south	127036	27815337	363088	232617	0.83629	5.02857	87.64038	0.00178	0.99860	0.00045	0.00000	0.00103	0.00047	0.00000	0.99897	0.00047	0.00000	0.00189	0.00067	0.00000	0.99811	0.00067	0.00000	0.00218	0.00100	0.00001	0.00344	0.00316	0.00178
west	49374	10833583	305850	96518	0.89091	3.17798	9.34962	0.00093	0.99793	0.00068	0.00001	0.00195	0.00095	0.00001	0.99805	0.00095	0.00001	0.00278	0.00104	0.00001	0.99722	0.00104	0.00001	0.00327	0.00156	0.00001	0.00300	0.00306	0.00093
