# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
caes	1097	5.76895	0.32515	0.00650	0.91687	0.02136	0.00167	0.09476	0.04151	0.00232	0.90524	0.04151	0.00232	0.10974	0.03216	0.00204	0.89026	0.03216	0.00204	0.12035	0.03873	0.00224	0.07252	0.09109	0.00650
duse	728	4.99883	0.78348	0.01009	0.90683	0.02237	0.00171	0.09653	0.03331	0.00208	0.90347	0.03331	0.00208	0.12424	0.03451	0.00212	0.87576	0.03451	0.00212	0.13869	0.04312	0.00237	0.09221	0.08480	0.01009
miss	1067	5.17904	0.75273	0.00989	0.90325	0.02385	0.00176	0.10309	0.03800	0.00222	0.89691	0.03800	0.00222	0.12709	0.03575	0.00216	0.87291	0.03575	0.00216	0.14130	0.04432	0.00240	0.08471	0.08558	0.00989
para	1000	5.71616	0.38275	0.00705	0.90376	0.02139	0.00167	0.09433	0.03699	0.00219	0.90567	0.03699	0.00219	0.13118	0.03327	0.00208	0.86882	0.03327	0.00208	0.14411	0.04023	0.00229	0.13686	0.13142	0.00705
send	533	4.57121	0.44137	0.00758	0.90853	0.02288	0.00172	0.10318	0.03988	0.00228	0.89682	0.03988	0.00228	0.12045	0.03424	0.00211	0.87955	0.03424	0.00211	0.13583	0.04367	0.00238	0.06960	0.08066	0.00758
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
caes	1097	721463	7691	2315	0.32088	5.80127	0.29286	0.00064	0.99911	0.00030	0.00002	0.00101	0.00054	0.00003	0.99899	0.00054	0.00003	0.00117	0.00047	0.00003	0.99883	0.00047	0.00003	0.00128	0.00057	0.00003	0.00077	0.00103	0.00064
duse	728	721463	7691	2601	0.36052	5.02052	0.78126	0.00104	0.99901	0.00033	0.00002	0.00103	0.00045	0.00003	0.99897	0.00045	0.00003	0.00132	0.00053	0.00003	0.99868	0.00053	0.00003	0.00148	0.00066	0.00003	0.00098	0.00099	0.00104
miss	1067	721463	7691	2622	0.36343	5.20740	0.75253	0.00102	0.99897	0.00035	0.00002	0.00110	0.00052	0.00003	0.99890	0.00052	0.00003	0.00135	0.00055	0.00003	0.99865	0.00055	0.00003	0.00151	0.00068	0.00003	0.00090	0.00099	0.00102
para	1000	721463	7691	2915	0.40404	5.75937	0.33879	0.00069	0.99897	0.00033	0.00002	0.00101	0.00049	0.00003	0.99899	0.00049	0.00003	0.00140	0.00054	0.00003	0.99860	0.00054	0.00003	0.00154	0.00065	0.00003	0.00146	0.00160	0.00069
send	533	721336	7689	2511	0.34810	4.59462	0.43400	0.00078	0.99903	0.00033	0.00002	0.00110	0.00054	0.00003	0.99890	0.00054	0.00003	0.00128	0.00052	0.00003	0.99872	0.00052	0.00003	0.00145	0.00066	0.00003	0.00074	0.00091	0.00078
