# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Preit	272	10.35670	1.16711	0.01731	0.90187	0.01917	0.00222	0.09418	0.02270	0.00241	0.90582	0.02270	0.00241	0.13867	0.03049	0.00280	0.86133	0.03049	0.00280	0.14578	0.03372	0.00294	0.15646	0.10529	0.01731
Psaxi	93	5.77196	0.87888	0.01502	0.91823	0.01990	0.00226	0.08932	0.02952	0.00275	0.91068	0.02952	0.00275	0.11038	0.03061	0.00280	0.88962	0.03061	0.00280	0.12106	0.03685	0.00308	0.07396	0.07121	0.01502
Psche	685	11.30894	0.76017	0.01397	0.87548	0.02535	0.00255	0.07800	0.01874	0.00219	0.92200	0.01874	0.00219	0.16734	0.03763	0.00311	0.83266	0.03763	0.00311	0.17513	0.04122	0.00325	0.23003	0.15344	0.01397
Pteri	719	8.58629	1.18688	0.01746	0.87482	0.02319	0.00244	0.06464	0.01520	0.00198	0.93536	0.01520	0.00198	0.17265	0.03725	0.00309	0.82735	0.03725	0.00309	0.18350	0.04210	0.00329	0.29249	0.17992	0.01746
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Preit	272	3894	3894	1873	48.09964	10.35670	1.16711	0.01731	0.90187	0.01917	0.00222	0.09418	0.02270	0.00241	0.90582	0.02270	0.00241	0.13867	0.03049	0.00280	0.86133	0.03049	0.00280	0.14578	0.03372	0.00294	0.15646	0.10529	0.01731
Psaxi	93	3894	3894	1270	32.61428	5.77196	0.87888	0.01502	0.91823	0.01990	0.00226	0.08932	0.02952	0.00275	0.91068	0.02952	0.00275	0.11038	0.03061	0.00280	0.88962	0.03061	0.00280	0.12106	0.03685	0.00308	0.07396	0.07121	0.01502
Psche	685	3894	3894	1993	51.18130	11.30894	0.76017	0.01397	0.87548	0.02535	0.00255	0.07800	0.01874	0.00219	0.92200	0.01874	0.00219	0.16734	0.03763	0.00311	0.83266	0.03763	0.00311	0.17513	0.04122	0.00325	0.23003	0.15344	0.01397
Pteri	719	3894	3894	1980	50.84746	8.58629	1.18688	0.01746	0.87482	0.02319	0.00244	0.06464	0.01520	0.00198	0.93536	0.01520	0.00198	0.17265	0.03725	0.00309	0.82735	0.03725	0.00309	0.18350	0.04210	0.00329	0.29249	0.17992	0.01746
