# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
caes	721	5.72743	0.36539	0.00829	0.91849	0.01994	0.00194	0.08314	0.03196	0.00245	0.91686	0.03196	0.00245	0.10984	0.03104	0.00242	0.89016	0.03104	0.00242	0.12047	0.03737	0.00265	0.09590	0.09549	0.00829
duse	502	4.97968	0.78416	0.01215	0.90869	0.02167	0.00202	0.08130	0.02585	0.00220	0.91870	0.02585	0.00220	0.12262	0.03373	0.00252	0.87738	0.03373	0.00252	0.13669	0.04204	0.00281	0.12062	0.09907	0.01215
miss	655	5.15971	0.78709	0.01217	0.90843	0.02281	0.00207	0.07669	0.02484	0.00216	0.92331	0.02484	0.00216	0.12077	0.03419	0.00254	0.87923	0.03419	0.00254	0.13426	0.04241	0.00282	0.12696	0.10139	0.01217
para	673	5.79120	0.25931	0.00698	0.90276	0.02108	0.00199	0.08899	0.03163	0.00244	0.91101	0.03163	0.00244	0.13341	0.03305	0.00249	0.86659	0.03305	0.00249	0.14625	0.03983	0.00274	0.15086	0.13190	0.00698
send	378	4.72041	0.30194	0.00754	0.91225	0.02182	0.00203	0.08734	0.03097	0.00241	0.91266	0.03097	0.00241	0.11648	0.03297	0.00249	0.88352	0.03297	0.00249	0.13045	0.04142	0.00279	0.09262	0.08767	0.00754
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
caes	721	5316	5316	1661	31.24530	5.72743	0.36539	0.00829	0.91849	0.01994	0.00194	0.08314	0.03196	0.00245	0.91686	0.03196	0.00245	0.10984	0.03104	0.00242	0.89016	0.03104	0.00242	0.12047	0.03737	0.00265	0.09590	0.09549	0.00829
duse	502	5316	5316	1807	33.99172	4.97968	0.78416	0.01215	0.90869	0.02167	0.00202	0.08130	0.02585	0.00220	0.91870	0.02585	0.00220	0.12262	0.03373	0.00252	0.87738	0.03373	0.00252	0.13669	0.04204	0.00281	0.12062	0.09907	0.01215
miss	655	5316	5316	1753	32.97592	5.15971	0.78709	0.01217	0.90843	0.02281	0.00207	0.07669	0.02484	0.00216	0.92331	0.02484	0.00216	0.12077	0.03419	0.00254	0.87923	0.03419	0.00254	0.13426	0.04241	0.00282	0.12696	0.10139	0.01217
para	673	5316	5316	2084	39.20241	5.79120	0.25931	0.00698	0.90276	0.02108	0.00199	0.08899	0.03163	0.00244	0.91101	0.03163	0.00244	0.13341	0.03305	0.00249	0.86659	0.03305	0.00249	0.14625	0.03983	0.00274	0.15086	0.13190	0.00698
send	378	5315	5315	1716	32.28598	4.72041	0.30194	0.00754	0.91225	0.02182	0.00203	0.08734	0.03097	0.00241	0.91266	0.03097	0.00241	0.11648	0.03297	0.00249	0.88352	0.03297	0.00249	0.13045	0.04142	0.00279	0.09262	0.08767	0.00754
