# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Preit	25	10.48221	1.10218	0.04429	0.86722	0.02377	0.00650	0.15978	0.04156	0.00860	0.84022	0.04156	0.00860	0.18284	0.03472	0.00786	0.81716	0.03472	0.00786	0.19209	0.03834	0.00826	0.10378	0.10304	0.04429
Psaxi	7	5.84342	0.87740	0.03951	0.87560	0.02706	0.00694	0.14920	0.04708	0.00915	0.85080	0.04708	0.00915	0.16383	0.03882	0.00831	0.83617	0.03882	0.00831	0.17963	0.04671	0.00912	0.07351	0.08466	0.03951
Psche	65	11.29537	0.69691	0.03521	0.83615	0.02945	0.00724	0.16181	0.05215	0.00963	0.83819	0.05215	0.00963	0.21521	0.04062	0.00850	0.78479	0.04062	0.00850	0.22518	0.04446	0.00889	0.14694	0.17185	0.03521
Pteri	71	8.73310	1.22275	0.04664	0.82809	0.02686	0.00691	0.13333	0.03579	0.00798	0.86667	0.03579	0.00798	0.23110	0.03892	0.00832	0.76890	0.03892	0.00832	0.24536	0.04388	0.00884	0.27103	0.18525	0.04664
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Preit	25	562	562	335	59.60854	10.48221	1.10218	0.04429	0.86722	0.02377	0.00650	0.15978	0.04156	0.00860	0.84022	0.04156	0.00860	0.18284	0.03472	0.00786	0.81716	0.03472	0.00786	0.19209	0.03834	0.00826	0.10378	0.10304	0.04429
Psaxi	7	562	562	261	46.44128	5.84342	0.87740	0.03951	0.87560	0.02706	0.00694	0.14920	0.04708	0.00915	0.85080	0.04708	0.00915	0.16383	0.03882	0.00831	0.83617	0.03882	0.00831	0.17963	0.04671	0.00912	0.07351	0.08466	0.03951
Psche	65	562	562	349	62.09964	11.29537	0.69691	0.03521	0.83615	0.02945	0.00724	0.16181	0.05215	0.00963	0.83819	0.05215	0.00963	0.21521	0.04062	0.00850	0.78479	0.04062	0.00850	0.22518	0.04446	0.00889	0.14694	0.17185	0.03521
Pteri	71	562	562	366	65.12456	8.73310	1.22275	0.04664	0.82809	0.02686	0.00691	0.13333	0.03579	0.00798	0.86667	0.03579	0.00798	0.23110	0.03892	0.00832	0.76890	0.03892	0.00832	0.24536	0.04388	0.00884	0.27103	0.18525	0.04664
