# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Preit	240	10.34515	1.15458	0.01796	0.90301	0.01924	0.00232	0.09277	0.02250	0.00251	0.90723	0.02250	0.00251	0.13671	0.03044	0.00292	0.86329	0.03044	0.00292	0.14372	0.03366	0.00307	0.15334	0.10518	0.01796
Psaxi	86	5.77688	0.87506	0.01563	0.91972	0.01953	0.00234	0.08502	0.02818	0.00281	0.91498	0.02818	0.00281	0.10862	0.03020	0.00290	0.89138	0.03020	0.00290	0.11916	0.03639	0.00319	0.08008	0.07545	0.01563
Psche	635	11.30774	0.75611	0.01453	0.87549	0.02521	0.00265	0.07969	0.01964	0.00234	0.92031	0.01964	0.00234	0.16761	0.03754	0.00324	0.83239	0.03754	0.00324	0.17543	0.04113	0.00339	0.22757	0.15379	0.01453
Pteri	671	8.58894	1.16953	0.01807	0.86961	0.02400	0.00259	0.06711	0.01589	0.00211	0.93289	0.01589	0.00211	0.17878	0.03799	0.00326	0.82122	0.03799	0.00326	0.19002	0.04296	0.00346	0.29885	0.18187	0.01807
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Preit	240	3581	3581	1699	47.44485	10.34515	1.15458	0.01796	0.90301	0.01924	0.00232	0.09277	0.02250	0.00251	0.90723	0.02250	0.00251	0.13671	0.03044	0.00292	0.86329	0.03044	0.00292	0.14372	0.03366	0.00307	0.15334	0.10518	0.01796
Psaxi	86	3581	3581	1152	32.16978	5.77688	0.87506	0.01563	0.91972	0.01953	0.00234	0.08502	0.02818	0.00281	0.91498	0.02818	0.00281	0.10862	0.03020	0.00290	0.89138	0.03020	0.00290	0.11916	0.03639	0.00319	0.08008	0.07545	0.01563
Psche	635	3581	3581	1843	51.46607	11.30774	0.75611	0.01453	0.87549	0.02521	0.00265	0.07969	0.01964	0.00234	0.92031	0.01964	0.00234	0.16761	0.03754	0.00324	0.83239	0.03754	0.00324	0.17543	0.04113	0.00339	0.22757	0.15379	0.01453
Pteri	671	3581	3581	1865	52.08042	8.58894	1.16953	0.01807	0.86961	0.02400	0.00259	0.06711	0.01589	0.00211	0.93289	0.01589	0.00211	0.17878	0.03799	0.00326	0.82122	0.03799	0.00326	0.19002	0.04296	0.00346	0.29885	0.18187	0.01807
