PC1	PC2
caes1	-8.27823135269256	-1.83121649259884
caes12	-24.7550428475922	-4.67479223175521
caes3	-23.4317202537054	-4.26259902424405
caes7	-24.9254929717777	-4.64615389621625
caes8	-24.289699710598	-4.44477157240666
caes9	-25.2659259375326	-4.47214985129308
duse11	3.28614141152418	2.00904104839079
duse12	3.66095901057274	2.16583906299432
duse2	3.00531184171289	1.80064299541249
duse23	3.34699344138349	1.85007366462993
duse31	2.24737608819278	1.02113076100393
duse7	3.24443535046229	2.10870013918171
miss10	4.73997728402863	11.2929437702423
miss36	7.00417980833153	17.2205000632948
miss38	6.23159018716446	15.0843241572355
miss39	6.02718254088615	14.3836137880356
miss40	6.89906265787945	16.5915022828829
miss58	5.56648077100457	13.2150505983167
para156	12.092512856978	-19.2826454649938
para16	11.9373469457668	-19.7181883379862
para178	1.08890567099163	2.1846451688811
para227	12.0019210936033	-20.0314786574418
para240	12.4580520479372	-20.2291669006445
para80	12.2145368218187	-20.6162573386004
send114	2.66587535519131	4.86757943124053
send117	2.67938695887789	4.13525997484963
send121	3.04552825985357	4.77070999769594
send54	2.89246995655488	4.84448793062732
send9	2.60988671318128	4.66337493326537
