PC1	PC2
3005842	-6.53574343991424	-0.0355713756832785
3005924	-3.98102489267273	0.133901751819081
3006949	-3.43942862132844	-0.166702506280511
3005899	-7.32715929195051	-0.230313221078183
3005912	-6.26184479533745	0.0609837841510552
3005852	-8.32694323738932	-0.500419841200898
3006912	-5.84403136824945	-0.203994709016837
3005888	-7.86432762612478	-0.216421473169941
3005900	-6.39154813161896	-0.528858091778497
3005911	-6.58678985432875	-0.151037169824942
3005891	-6.2641205583775	-0.311598239919984
3006944	-6.85783291692164	0.0518535818803983
3005889	-7.84858400174953	-0.136722840006429
3005901	-4.68895159513756	-0.132252994143547
3005903	-4.64829079018348	-0.133037012143112
3005877	-4.99844706199944	0.137715798098836
3005841	-7.61934839037132	0.0279334516260231
3005853	-8.39225858204363	0.10501925676905
3005865	-4.23322434226902	0.207287595312573
3005874	2.01241980850666	7.39515148342314
3006945	1.59536361173411	4.55199441559026
2990934	0.61125709310792	2.85755207577937
3005875	1.80856335903374	6.84706651126357
3005887	9.97243257245921	7.65500027682276
2990940	3.26028293036881	2.2552890457118
3005851	7.52178632931968	5.47954648912313
3005886	9.81062524981198	7.29234423795661
3005839	11.1896833764916	7.93849747051806
3006940	8.28717054475754	6.52243075380188
3005863	2.29565837241766	7.63401633860466
3006939	9.9446218267835	7.01073720066275
3005890	5.75238385207609	-8.90299895417841
3005914	6.17188906214325	-8.58370933209471
3005902	6.33446304915724	-8.73600047216085
3005926	7.06955702028989	-10.1599479693996
3005843	5.94954250677465	-8.38914832004859
3005855	8.88572388327759	-11.9377884699632
3005867	7.51155167646653	-11.6660989962442
3005854	0.771951950179592	-0.708975875583459
3006928	0.852451969688656	-1.20714448066133
3006934	0.500519453121784	-1.12557917433459
