PC1	PC2
caes1	-5.96208745086273	0.613349798561147
caes12	-17.2829014881311	0.960181374224968
caes3	-16.3265253390813	0.919357148649833
caes7	-17.353300072404	0.988857276624833
caes8	-16.8208727592946	0.904664505990267
caes9	-17.337797726769	0.930167787023616
duse11	2.13275278350749	-0.512158295412344
duse12	2.37002345927162	-0.390933300420763
duse2	1.83796621069932	-0.424846986901397
duse23	2.26907166850085	-0.622455613031888
duse31	1.62057360473498	-0.0770509209920002
duse7	2.19584955581704	-0.457487244957508
miss10	4.82317292173048	-8.60248722837375
miss36	6.19544027830175	-11.4330224485439
miss38	6.08442990266435	-10.8090596428455
miss39	5.70935493699297	-10.2132593305607
miss40	6.16634329183117	-11.3082423530367
miss58	5.43396379774257	-9.58247398973279
para156	6.64256212971547	14.1437973644962
para16	6.37879169963874	14.3896764121825
para178	0.714477520522834	-1.22407849348719
para227	6.47934345466619	14.8876659103273
para240	6.52617630374383	14.7359297306638
para80	6.51791257068042	15.0286473934394
send114	2.25883762463749	-2.5575823745487
send117	2.10304817220901	-2.32401515931974
send121	2.47879076248846	-2.39643140531495
send54	2.07532499250611	-2.92279305678031
send9	2.06927719393995	-2.64391685792401
