# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
caes	518	5.93343	0.06999	0.00442	0.91962	0.02053	0.00240	0.09421	0.04114	0.00339	0.90579	0.04114	0.00339	0.10678	0.03135	0.00296	0.89322	0.03135	0.00296	0.11667	0.03743	0.00324	0.06651	0.08617	0.00442
duse	369	5.44140	0.38150	0.01033	0.91287	0.02047	0.00239	0.09166	0.03075	0.00293	0.90834	0.03075	0.00293	0.11816	0.03275	0.00303	0.88184	0.03275	0.00303	0.13020	0.03976	0.00334	0.08908	0.07972	0.01033
miss	534	5.60699	0.30913	0.00930	0.90776	0.02220	0.00249	0.10207	0.03560	0.00316	0.89793	0.03560	0.00316	0.12308	0.03420	0.00309	0.87692	0.03420	0.00309	0.13537	0.04141	0.00340	0.07637	0.07596	0.00930
para	468	5.90657	0.09647	0.00519	0.90822	0.02059	0.00240	0.08914	0.03444	0.00310	0.91086	0.03444	0.00310	0.12554	0.03232	0.00301	0.87446	0.03232	0.00301	0.13728	0.03867	0.00329	0.13505	0.12628	0.00519
send	263	4.83357	0.15612	0.00661	0.91588	0.02076	0.00241	0.09776	0.03629	0.00319	0.90224	0.03629	0.00319	0.11258	0.03210	0.00300	0.88742	0.03210	0.00300	0.12574	0.04008	0.00335	0.06230	0.07036	0.00661
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
caes	518	348854	3575	1057	0.30299	5.94402	0.05938	0.00041	0.99918	0.00028	0.00003	0.00097	0.00051	0.00004	0.99903	0.00051	0.00004	0.00109	0.00044	0.00004	0.99891	0.00044	0.00004	0.00120	0.00052	0.00004	0.00068	0.00093	0.00041
duse	369	348854	3575	1174	0.33653	5.44800	0.38244	0.00105	0.99911	0.00029	0.00003	0.00094	0.00040	0.00003	0.99906	0.00040	0.00003	0.00121	0.00048	0.00004	0.99879	0.00048	0.00004	0.00133	0.00058	0.00004	0.00091	0.00090	0.00105
miss	534	348854	3575	1215	0.34828	5.63003	0.29994	0.00093	0.99905	0.00031	0.00003	0.00105	0.00047	0.00004	0.99895	0.00047	0.00004	0.00126	0.00050	0.00004	0.99874	0.00050	0.00004	0.00139	0.00061	0.00004	0.00078	0.00084	0.00093
para	468	348854	3575	1303	0.37351	5.92445	0.08035	0.00048	0.99906	0.00030	0.00003	0.00091	0.00043	0.00004	0.99909	0.00043	0.00004	0.00129	0.00049	0.00004	0.99871	0.00049	0.00004	0.00141	0.00059	0.00004	0.00138	0.00148	0.00048
send	263	348854	3575	1120	0.32105	4.84981	0.14315	0.00064	0.99914	0.00028	0.00003	0.00100	0.00047	0.00004	0.99900	0.00047	0.00004	0.00115	0.00046	0.00004	0.99885	0.00046	0.00004	0.00129	0.00057	0.00004	0.00064	0.00076	0.00064
